id,classification,label,kind,tolerance,baseline_successes,baseline_wall_median,baseline_cpu_median,baseline_peak_rss_median,baseline_certificate_bytes_median,baseline_metric,baseline_route,C1_successes,C1_wall_median,C1_cpu_median,C1_peak_rss_median,C1_certificate_bytes_median,C1_metric,C1_route,C2_successes,C2_wall_median,C2_cpu_median,C2_peak_rss_median,C2_certificate_bytes_median,C2_metric,C2_route
E01,new_public,弱阶跃，完整空间,spectrum,1/1000000,3,0.4047773340716958,0.389889,35979264,6693,1.04142976061259e-14,baseline_reference,3,0.4202311660628766,0.39902699999999997,36044800,6693,1.04142976061259e-14,baseline_fallback,3,0.3729967090766877,0.36556299999999997,36175872,6098,3.5803465488978117e-09,native_c2
E02,new_public,弱阶跃，平均零空间,spectrum,1/1000000,3,0.4447706670034677,0.430984,36110336,8635,3.819308248224538e-14,baseline_reference,3,0.43909783312119544,0.43419599999999997,36061184,8635,3.819308248224538e-14,baseline_fallback,3,0.3887135840486735,0.382052,36159488,8005,6.795951356227946e-09,native_c2
E03,new_public,偏移阶跃高精度，完整空间,spectrum,1/100000000,3,0.38889950001612306,0.379886,36028416,6762,1.9702107188121404e-13,baseline_reference,3,0.3863426249008626,0.37700199999999995,36044800,6762,1.9702107188121404e-13,baseline_fallback,3,0.4248169169295579,0.41799,36143104,6479,1.2357477767691734e-10,native_c2
E04,new_public,偏移阶跃高精度，平均零空间,spectrum,1/100000000,3,0.49827233306132257,0.48715899999999995,35995648,8801,6.224107310746662e-13,baseline_reference,3,0.4861356660258025,0.480371,36061184,8801,6.224107310746662e-13,baseline_fallback,3,0.4620092080440372,0.449004,36192256,8496,2.8938485580489534e-10,native_c2
E05,new_public,较强阶跃，完整空间,spectrum,1/1000000,3,0.4068282500375062,0.397148,35995648,6759,3.4117637452598626e-12,baseline_reference,3,0.40335708390921354,0.396654,36077568,6759,3.4117637452598626e-12,baseline_fallback,3,0.39502179087139666,0.387214,36126720,6436,2.0495843202796798e-09,native_c2
E06,new_public,较强阶跃，平均零空间,spectrum,1/1000000,3,0.4798810421489179,0.47216199999999997,35995648,8721,7.75477122852288e-12,baseline_reference,3,0.47094420809298754,0.464649,36093952,8721,7.75477122852288e-12,baseline_fallback,3,0.44416741700842977,0.43667799999999996,36143104,8434,3.5136099220840293e-09,native_c2
E07,new_public,正幅度阶跃，完整空间,spectrum,1/1000000,3,0.397844250081107,0.388029,35979264,6652,4.608443090625178e-14,baseline_reference,3,0.4035289171151817,0.39337099999999997,36028416,6652,4.608443090625178e-14,baseline_fallback,3,0.3908134999219328,0.366876,36225024,6046,1.576247355235012e-08,native_c2
E08,new_public,正幅度阶跃，平均零空间,spectrum,1/1000000,3,0.43933408381417394,0.428768,36012032,8534,1.605276618309289e-13,baseline_reference,3,0.44112266693264246,0.433998,36061184,8534,1.605276618309289e-13,baseline_fallback,3,0.4011712500359863,0.39170699999999997,36192256,7943,2.8496251476089724e-08,native_c2
E09,new_public,新指数完整空间,spectrum,1/1000000,3,1.0753552911337465,1.060714,36487168,25266,9.732277971505391e-08,baseline_reference,3,0.658067167038098,0.6509609999999999,36569088,23662,9.374974048162172e-07,native_c1,3,0.693048374960199,0.6839679999999999,36569088,23662,9.374974048162172e-07,reused_c1
E10,new_public,同题严格精度,spectrum,1/10000000000,3,1.5164606659673154,1.500929,36519936,25862,2.1653758412477842e-13,baseline_reference,3,0.8411397919990122,0.82973,36618240,23976,9.374726507982963e-11,native_c1,3,0.860610333038494,0.851992,36667392,23976,9.374726507982963e-11,reused_c1
E11,new_public,新指数平均零空间,spectrum,1/100000000,3,2.299009915906936,2.277108,36864000,41564,1.7704617598367754e-11,baseline_reference,3,1.2810484170913696,1.256468,36995072,39065,9.374326876173774e-09,native_c1,3,1.239249625010416,1.211514,36995072,39065,9.374326876173774e-09,reused_c1
