case,dimension,kind,system,successes,runs,failure_classes,wall_median_s,wall_min_s,wall_max_s,cpu_median_s,peak_rss_median_bytes,response_median_bytes,certificate_median_bytes,metric_median,fallback_runs
S01,precision,spectrum,baseline,5,5,None,0.3524268751498312,0.3445436670444906,0.35605612490326166,0.34927199999999997,37486592,31421,23076,2.8153528077218637e-08,0
S01,precision,spectrum,A,5,5,None,0.752272583078593,0.7500058750156313,0.7619180830661207,0.747293,38043648,34465,15961,6.145381299589509e-05,0
S01,precision,spectrum,B,5,5,None,0.794588791904971,0.7826949590817094,0.796282249968499,0.7915179999999999,38060032,60231,59169,7.687520267551923e-07,0
S01,precision,spectrum,C,5,5,None,0.22064891690388322,0.2192823328077793,0.22148470906540751,0.217558,37568512,23835,20166,9.365223843917268e-05,0
S02,precision,spectrum,baseline,5,5,None,0.3536857080180198,0.3524375418201089,0.36102533410303295,0.35086999999999996,37502976,31427,23078,2.8153528077218637e-08,0
S02,precision,spectrum,A,0,5,precision_insufficient,1.819995875004679,1.8070051250979304,1.8401625419501215,1.815812,38895616,57434,27280,3.365706548563242e-05,0
S02,precision,spectrum,B,5,5,None,0.7895812089554965,0.7780322090256959,0.7947703329846263,0.786164,38027264,60242,59179,7.687520267551923e-07,0
S02,precision,spectrum,C,5,5,None,0.21705862483941019,0.21583574987016618,0.21848208387382329,0.213966,37552128,23862,20157,9.374926861241486e-07,0
S03,precision,spectrum,baseline,5,5,None,0.46637683315202594,0.4565691249445081,0.4875661248806864,0.46234699999999995,37617664,35200,23517,7.72124856914511e-14,0
S03,precision,spectrum,A,0,5,precision_insufficient,1.810072333086282,1.8023717920295894,1.8235207498073578,1.8056949999999998,38879232,57451,27286,3.365706548563242e-05,0
S03,precision,spectrum,B,5,5,None,8.004267917014658,7.9721242499072105,8.053350708913058,7.992267999999999,47464448,558849,557980,7.72124856914511e-14,0
S03,precision,spectrum,C,5,5,None,0.2834912920370698,0.27709479187615216,0.30486375000327826,0.276698,37634048,25577,20320,9.188456292098442e-09,0
S04,singularity,spectrum,baseline,5,5,None,0.3628382917959243,0.35969287483021617,0.36418558307923377,0.35908799999999996,37535744,33876,25401,5.883376339244829e-09,0
S04,singularity,spectrum,A,0,5,precision_insufficient,1.963741207960993,1.9288203329779208,1.9978829589672387,1.958912,38944768,72474,34798,5.7100401325679126e-06,0
S04,singularity,spectrum,B,5,5,None,0.8122264998964965,0.7986404169350863,0.8260197921190411,0.8080579999999999,38092800,66928,65842,2.490017851782713e-07,0
S04,singularity,spectrum,C,5,5,None,0.22227920801378787,0.21864033304154873,0.2275981658603996,0.216962,37519360,26107,22382,9.374404230970691e-07,0
S05,singularity,spectrum,baseline,5,5,None,0.3620022910181433,0.35174129204824567,0.365612167166546,0.358848,37502976,32514,24028,2.7267741454870706e-07,0
S05,singularity,spectrum,A,0,5,precision_insufficient,3.342596207978204,3.311007583979517,3.368096916936338,3.334208,42795008,207309,102227,0.0017980786526176358,0
S05,singularity,spectrum,B,5,5,None,1.518398790853098,1.4995275000110269,1.546576082939282,1.5155969999999999,38502400,98042,97147,3.3556921565495607e-13,0
S05,singularity,spectrum,C,5,5,None,0.21768262493424118,0.2152915420010686,0.22872820892371237,0.21529099999999998,37568512,25411,21659,9.374989947493895e-07,0
S06,singularity,spectrum,baseline,5,5,None,0.7996386669110507,0.7944558749441057,0.8033679169602692,0.7961949999999999,38092800,80378,66606,8.477320200127612e-07,0
S06,singularity,spectrum,A,0,5,precision_insufficient,8.88175683398731,8.851578374858946,8.965620875125751,8.870095,56770560,827809,412106,0.01001549660829575,0
S06,singularity,spectrum,B,5,5,None,5.708029167028144,5.692886249860749,5.815967374946922,5.698609,43122688,396288,395293,4.891933358131776e-13,0
S06,singularity,spectrum,C,5,5,None,0.8090983750298619,0.8069503339938819,0.8118019581306726,0.80499,38207488,81259,66606,8.477320200127612e-07,5
S07,amplitude,spectrum,baseline,5,5,None,0.35946758394129574,0.3527855828870088,0.362321832915768,0.353962,37486592,29737,21445,9.40291326191634e-10,0
S07,amplitude,spectrum,A,0,5,precision_insufficient,1.837276458973065,1.8149987501092255,1.8489461247809231,1.832225,38895616,58359,27754,1.025795678845956e-06,0
S07,amplitude,spectrum,B,5,5,None,0.7967752909753472,0.7886342080309987,0.8259169580414891,0.788262,38141952,59333,58271,3.004914055889724e-08,0
S07,amplitude,spectrum,C,5,5,None,0.22357387514784932,0.21826304192654788,0.229136792011559,0.220405,37552128,22960,19290,9.373645677753555e-07,0
S08,amplitude,spectrum,baseline,5,5,None,0.358127208892256,0.35370799992233515,0.36183312512002885,0.351267,37470208,30529,22154,3.8024024698279816e-07,0
S08,amplitude,spectrum,A,0,5,precision_insufficient,4.329126791097224,4.325584917096421,4.39415958407335,4.321991,42549248,166288,81703,0.0009027428978115313,0
S08,amplitude,spectrum,B,5,5,None,2.417992874979973,2.404256499838084,2.4408969581127167,2.410939,39452672,156466,155600,7.675073254047396e-13,0
S08,amplitude,spectrum,C,5,5,None,0.2164639588445425,0.21137337503023446,0.22542241704650223,0.21370799999999998,37535744,23324,19614,9.37499231719477e-07,0
S09,stress,spectrum,baseline,0,5,capability_failure,1.822190959006548,1.8062053329776973,1.83526641712524,1.817756,38912000,10077,0,,0
S09,stress,spectrum,A,0,5,capability_failure,0.09631487517617643,0.0948965409770608,0.09817620902322233,0.09297799999999999,37191680,2460,0,,0
S09,stress,spectrum,B,0,5,preparation_failed,1.8584416250232607,1.8413357499521226,1.873145875055343,1.854391,39026688,0,0,,0
S09,stress,spectrum,C,0,5,capability_failure,1.8154830420389771,1.8141638340894133,1.9424698748625815,1.811542,38977536,10909,0,,5
